[legalize_heu] log lengths/displacements in physical coords (geometry_scale=6.00)
[legalize_heu] snapped 37 boundary module(s) to die edge

[legalize_heu] multi-pass local move
  Tier 0 bbox_center=(23.00, 23.00)
  Tier 0 [iter=0] running sweeps (h-first)
  Tier 0 [near->far] init_w=1.00 mul=2.00 side_bias=0.00(axis=0)
    [move_apply] module_id=315 center=(22.002, 22.7408) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=587 center=(24.0166, 22.841) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=332 center=(22.0221, 24.9776) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=604 center=(24.0051, 24.9874) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=741 center=(23.488, 20.6016) dx=-0.101988 dy=0 rot90=0 weight=2
    [move_apply] module_id=197 center=(21.5597, 20.6235) dx=0 dy=-0.00431437 rot90=0 weight=2
    [move_apply] module_id=43 center=(25.7233, 22.0775) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=742 center=(19.7396, 22.3925) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=603 center=(26.2105, 24.3711) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=588 center=(19.5846, 24.1792) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=452 center=(24.2647, 27.0024) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=180 center=(22.1713, 27.1728) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=469 center=(25.3484, 19.4162) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=759 center=(21.7118, 18.8017) dx=-0.00495513 dy=0.0507475 rot90=0 weight=2
    [move_apply] module_id=470 center=(19.3761, 20.3699) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=44 center=(18.3739, 23.7318) dx=-0.0458093 dy=0 rot90=1 weight=2
    [move_apply] module_id=42 center=(27.6903, 22.2141) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=60 center=(26.0916, 26.5751) dx=-0.0447801 dy=0 rot90=0 weight=2
    [move_apply] module_id=453 center=(19.6626, 26.5247) dx=0.0229578 dy=0 rot90=0 weight=2
    [move_apply] module_id=314 center=(27.6728, 20.358) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=198 center=(17.5515, 21.8325) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=602 center=(28.5119, 23.9535) dx=-0.0359103 dy=-0.0104653 rot90=0 weight=2
    [move_apply] module_id=316 center=(17.2709, 23.9952) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=215 center=(19.4299, 18.1996) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=758 center=(23.5549, 16.9915) dx=0 dy=-0.0297308 rot90=0 weight=2
    [move_apply] module_id=331 center=(28.4181, 25.781) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=163 center=(21.7138, 29.1933) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=486 center=(25.3684, 17.131) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=586 center=(27.3724, 18.3865) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=435 center=(23.6697, 29.3469) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=214 center=(21.6759, 16.7526) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=349 center=(25.5374, 29.1554) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=605 center=(17.0505, 26.1312) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=59 center=(28.0515, 27.5965) dx=0 dy=-0.00433607 rot90=0 weight=2
    [move_apply] module_id=760 center=(17.3219, 19.0927) dx=0.0176732 dy=-0.0676682 rot90=0 weight=2
    [move_apply] module_id=181 center=(19.6334, 29.0224) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=41 center=(30.1804, 22.2759) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=313 center=(29.923, 20.3146) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=487 center=(19.5216, 16.3177) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=216 center=(15.6526, 20.8676) dx=0 dy=0.106039 rot90=0 weight=2
    [move_apply] module_id=61 center=(17.2146, 28.0746) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=457 center=(15.1654, 22.676) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=77 center=(27.392, 29.6434) dx=0.0641411 dy=0 rot90=0 weight=2
    [move_apply] module_id=297 center=(27.463, 16.3532) dx=0.0314549 dy=0.00217508 rot90=0 weight=2
    [move_apply] module_id=585 center=(29.5547, 18.368) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=330 center=(30.976, 24.3692) dx=0.0627919 dy=0 rot90=0 weight=2
    [move_apply] module_id=298 center=(22.9797, 14.7103) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=707 center=(21.5585, 31.1715) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=58 center=(30.6376, 26.2522) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=712 center=(14.8207, 24.4841) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=26 center=(25.2366, 14.8956) dx=-0.0130505 dy=0 rot90=0 weight=2
    [move_apply] module_id=436 center=(23.8112, 31.6518) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=440 center=(14.9165, 26.4102) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=76 center=(30.1404, 28.3196) dx=0.0249944 dy=0 rot90=0 weight=2
    [move_apply] module_id=725 center=(19.4084, 31.1402) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=776 center=(20.9377, 14.3075) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=78 center=(17.5243, 30.0831) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=621 center=(25.7362, 31.5061) dx=-0.0597651 dy=0 rot90=0 weight=2
    [move_apply] module_id=488 center=(15.0341, 18.7181) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=164 center=(19.5578, 31.5492) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=329 center=(32.263, 22.2563) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=296 center=(29.6934, 16.3863) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=312 center=(31.9991, 20.0334) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=232 center=(19.0274, 14.2786) dx=0.0120556 dy=0 rot90=0 weight=2
    [move_apply] module_id=348 center=(29.4683, 30.1966) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=233 center=(16.8423, 15.4494) dx=0 dy=-0.0337496 rot90=0 weight=2
    [move_apply] module_id=333 center=(14.9096, 28.4225) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=25 center=(27.7087, 14.4454) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=729 center=(13.045, 22.602) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=217 center=(13.3162, 20.6428) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=775 center=(22.1905, 12.8582) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=57 center=(33.0762, 24.5391) dx=0.00523086 dy=0.0638546 rot90=0 weight=2
    [move_apply] module_id=690 center=(21.8739, 33.1189) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=584 center=(31.886, 18.0776) dx=-0.071942 dy=0 rot90=0 weight=2
    [move_apply] module_id=620 center=(28.2906, 31.8663) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=9 center=(23.6754, 12.6181) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=706 center=(32.8159, 26.5387) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=570 center=(25.5726, 12.8809) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=234 center=(14.6072, 16.8577) dx=0.03215 dy=0.0782159 rot90=0 weight=2
    [move_apply] module_id=622 center=(15.3257, 30.1607) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=708 center=(19.7744, 33.1495) dx=0.0756836 dy=0 rot90=0 weight=2
    [move_apply] module_id=168 center=(12.8448, 26.3371) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=434 center=(32.3301, 28.3202) dx=-0.0181277 dy=-0.0170984 rot90=0 weight=2
    [move_apply] module_id=503 center=(21.6537, 12.2843) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=418 center=(24.058, 33.7489) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=45 center=(12.2123, 24.4044) dx=0.102985 dy=0.0200687 rot90=0 weight=2
    [move_apply] module_id=761 center=(12.7858, 18.8262) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=350 center=(16.6504, 32.027) dx=0 dy=-0.0622512 rot90=0 weight=2
    [move_apply] module_id=24 center=(29.9599, 14.3499) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=777 center=(16.8429, 13.7088) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=94 center=(26.0836, 33.7187) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=419 center=(19.238, 33.6697) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=504 center=(19.2879, 12.2121) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=40 center=(34.2909, 21.2847) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=569 center=(27.7, 12.5271) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=75 center=(32.1278, 30.2488) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=740 center=(34.0999, 19.3066) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=62 center=(12.3594, 28.1693) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=689 center=(28.124, 33.6569) dx=-0.103145 dy=0 rot90=0 weight=2
    [move_apply] module_id=778 center=(14.2316, 14.9376) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=723 center=(34.9257, 22.8704) dx=0.0132135 dy=-0.127709 rot90=0 weight=2
    [move_apply] module_id=185 center=(11.1167, 21.859) dx=0 dy=-0.02345 rot90=0 weight=2
    [move_apply] module_id=417 center=(30.4712, 32.3941) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=146 center=(21.3778, 34.9773) dx=0.0072823 dy=0 rot90=0 weight=2
    [move_apply] module_id=147 center=(17.5596, 33.7991) dx=-0.00315654 dy=-0.0667823 rot90=0 weight=2
    [move_apply] module_id=451 center=(35.0466, 25.0972) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=489 center=(12.1976, 17.1134) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=606 center=(12.6447, 30.0077) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=623 center=(14.1398, 31.8626) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=162 center=(34.9704, 27.1766) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=757 center=(34.2271, 17.1025) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=505 center=(17.0737, 11.7546) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=589 center=(10.6555, 26.0381) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=474 center=(10.7631, 19.5499) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=568 center=(29.836, 12.2032) dx=0 dy=0 rot90=0 weight=2
