
[legalize_heu] multi-pass local move
  Tier 0 bbox_center=(134.00, 134.00)
  Tier 0 [iter=0] running sweeps (h-first)
  Tier 0 [near->far] init_w=1.00 mul=2.00 side_bias=0.00(axis=0)
    [move_apply] module_id=36 center=(141.862, 124.724) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=96 center=(100.365, 156.672) dx=0.155307 dy=-0.650253 rot90=0 weight=2
    [move_apply] module_id=50 center=(160.011, 177.921) dx=0.631036 dy=1.98278 rot90=0 weight=2
    [move_apply] module_id=5 center=(92.7953, 104.172) dx=-0.50136 dy=1.68588 rot90=1 weight=2
    [move_apply] module_id=33 center=(184.246, 147.266) dx=-2.8952 dy=-0.000880506 rot90=1 weight=2
    [move_apply] module_id=49 center=(185.5, 100.893) dx=-2.21123 dy=1.30604 rot90=0 weight=2
    [move_apply] module_id=44 center=(135.373, 61.1717) dx=-1.96352 dy=-3.00816 rot90=0 weight=2
    [move_apply] module_id=20 center=(59.611, 133.698) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=54 center=(210.746, 170.775) dx=0.00528304 dy=-0.620939 rot90=0 weight=2
    [move_apply] module_id=82 center=(105.805, 218.172) dx=-1.41656 dy=2.38228 rot90=0 weight=2
    [move_apply] module_id=40 center=(143.591, 220.5) dx=-2.11622 dy=0.903969 rot90=0 weight=2
    [move_apply] module_id=84 center=(184.678, 211) dx=2.70658 dy=3.30267 rot90=0 weight=2
    [move_apply] module_id=67 center=(82.6056, 56.7073) dx=1.73289 dy=0.466998 rot90=1 weight=2
    [move_apply] module_id=51 center=(43.6056, 92.877) dx=-2.17812 dy=-0.706294 rot90=0 weight=2
    [move_apply] module_id=72 center=(45.966, 176.33) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=15 center=(238.5, 120.829) dx=0 dy=-1.76407 rot90=0 weight=2
    [move_apply] module_id=85 center=(227.624, 77.9933) dx=0 dy=0 rot90=1 weight=2
    [move_apply] module_id=95 center=(56.5724, 218.366) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=46 center=(19.5, 132.377) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=1 center=(130.529, 18.5) dx=0.40331 dy=0 rot90=0 weight=2
    [move_apply] module_id=90 center=(158.586, 251.5) dx=0.826565 dy=0 rot90=0 weight=2
    [move_apply] module_id=63 center=(245.5, 169.329) dx=-4.5 dy=0 rot90=1 weight=2
    [move_apply] module_id=73 center=(208.027, 33.5) dx=1.23511 dy=0 rot90=0 weight=2
    [move_apply] module_id=75 center=(168.027, 14) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=71 center=(107.086, 257) dx=-3.58501 dy=0 rot90=0 weight=2
    [move_apply] module_id=28 center=(197.586, 245) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=91 center=(70.0288, 16.5) dx=0 dy=0 rot90=0 weight=2
    [move_apply] module_id=37 center=(258, 74.5323) dx=0 dy=-3.33333 rot90=0 weight=2
    [move_apply] module_id=59 center=(50.0856, 249.5) dx=-5.30045 dy=0 rot90=0 weight=2
    [move_apply] module_id=99 center=(243.5, 220.329) dx=0 dy=-0.948942 rot90=0 weight=2
    [move_apply] module_id=27 center=(251.027, 32.5) dx=-4.47304 dy=0 rot90=0 weight=2
    [move_apply] module_id=6 center=(248, 259) dx=0 dy=0 rot90=0 weight=2
  Tier 0 [left->right] init_w=3.00 mul=2.00 side_bias=-0.00(axis=1)
    [move_apply] module_id=46 center=(19.5, 132.377) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=72 center=(45.966, 176.33) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=51 center=(43.6056, 92.877) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=59 center=(50.0856, 249.5) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=95 center=(56.5724, 218.366) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=20 center=(59.611, 133.698) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=91 center=(70.0288, 16.5) dx=-1.42109e-14 dy=0 rot90=0 weight=6
    [move_apply] module_id=67 center=(82.6056, 59) dx=0 dy=2.2927 rot90=0 weight=6
    [move_apply] module_id=5 center=(92.7953, 104.172) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=71 center=(107.086, 257) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=96 center=(100.365, 156.672) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=82 center=(105.572, 217.5) dx=-0.232954 dy=-0.671653 rot90=0 weight=6
    [move_apply] module_id=1 center=(130.529, 18.5) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=44 center=(135.106, 60.5) dx=-0.267112 dy=-0.671653 rot90=0 weight=6
    [move_apply] module_id=36 center=(141.862, 124.724) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=50 center=(162.572, 177.921) dx=2.56169 dy=0 rot90=0 weight=6
    [move_apply] module_id=40 center=(142.072, 220.5) dx=-1.5191 dy=0 rot90=0 weight=6
    [move_apply] module_id=90 center=(158.586, 251.5) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=84 center=(188.572, 211) dx=3.89463 dy=0 rot90=0 weight=6
    [move_apply] module_id=75 center=(172.529, 14) dx=4.50183 dy=0 rot90=0 weight=6
    [move_apply] module_id=49 center=(185.5, 103.766) dx=0 dy=2.87293 rot90=0 weight=6
    [move_apply] module_id=33 center=(184.246, 147.266) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=73 center=(208.027, 34.4933) dx=0 dy=0.993268 rot90=0 weight=6
    [move_apply] module_id=28 center=(197.586, 245) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=54 center=(210.746, 169.5) dx=0 dy=-1.2749 rot90=0 weight=6
    [move_apply] module_id=15 center=(242, 121.829) dx=3.5 dy=1 rot90=1 weight=6
    [move_apply] module_id=85 center=(227.624, 77.9933) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=99 center=(243.5, 220.329) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=63 center=(245.5, 169.329) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=6 center=(248, 259) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=27 center=(251.027, 32.5) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=37 center=(238, 82.3292) dx=-20 dy=7.79682 rot90=1 weight=6
  Tier 0 [right->left] init_w=3.00 mul=2.00 side_bias=0.00(axis=1)
    [move_apply] module_id=99 center=(243.5, 220.329) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=63 center=(245.5, 169.329) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=37 center=(238, 82.3292) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=15 center=(242, 121.829) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=6 center=(248, 259) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=27 center=(251.027, 32.5) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=85 center=(226.027, 62.3292) dx=-1.59703 dy=-15.6641 rot90=0 weight=6
    [move_apply] module_id=73 center=(205.027, 30.5) dx=-3 dy=-3.99327 rot90=1 weight=6
    [move_apply] module_id=84 center=(185.5, 211) dx=-3.07237 dy=0 rot90=0 weight=6
    [move_apply] module_id=54 center=(207, 169.5) dx=-3.74552 dy=0 rot90=0 weight=6
    [move_apply] module_id=28 center=(197.586, 245) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=49 center=(184.862, 103.766) dx=-0.638469 dy=0 rot90=0 weight=6
    [move_apply] module_id=33 center=(180.5, 147.266) dx=-3.74552 dy=0 rot90=0 weight=6
    [move_apply] module_id=50 center=(162.572, 177.921) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=75 center=(162.027, 14) dx=-10.5018 dy=0 rot90=0 weight=6
    [move_apply] module_id=90 center=(158.586, 251.5) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=44 center=(135.106, 60.5) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=1 center=(120.027, 18.5) dx=-10.5018 dy=0 rot90=0 weight=6
    [move_apply] module_id=36 center=(141.862, 124.724) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=40 center=(139, 220.5) dx=-3.07237 dy=0 rot90=0 weight=6
    [move_apply] module_id=71 center=(107.086, 257) dx=-2.84217e-14 dy=0 rot90=0 weight=6
    [move_apply] module_id=82 center=(102.5, 217.5) dx=-3.07237 dy=0 rot90=0 weight=6
    [move_apply] module_id=96 center=(101.373, 156) dx=1.00748 dy=-0.671653 rot90=0 weight=6
    [move_apply] module_id=5 center=(92.7953, 103.5) dx=0 dy=-0.671653 rot90=0 weight=6
    [move_apply] module_id=67 center=(82.6056, 59) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=91 center=(59.527, 16.5) dx=-10.5018 dy=0 rot90=0 weight=6
    [move_apply] module_id=95 center=(53.5, 218.366) dx=-3.07237 dy=0 rot90=0 weight=6
    [move_apply] module_id=20 center=(59.611, 133.698) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=72 center=(45.966, 176.33) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=59 center=(50.0856, 249.5) dx=-1.42109e-14 dy=0 rot90=0 weight=6
    [move_apply] module_id=51 center=(43.6056, 92.877) dx=0 dy=0 rot90=0 weight=6
    [move_apply] module_id=46 center=(19.5, 132.377) dx=0 dy=0 rot90=0 weight=6
  Tier 0 [bottom->top] init_w=9.00 mul=3.00 side_bias=-0.00(axis=2)
    [move_apply] module_id=1 center=(120.027, 18.5) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=27 center=(251.027, 32.5) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=73 center=(205.027, 30.5) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=75 center=(162.027, 14) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=91 center=(59.527, 16.5) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=44 center=(135.106, 60.5) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=67 center=(82.6056, 59) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=85 center=(226.027, 71) dx=0 dy=8.67085 rot90=0 weight=27
    [move_apply] module_id=51 center=(43.6056, 92.877) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=49 center=(190.027, 103.766) dx=5.16543 dy=0 rot90=0 weight=27
    [move_apply] module_id=37 center=(258, 95) dx=20 dy=12.6708 rot90=1 weight=27
    [move_apply] module_id=5 center=(92.7953, 103.5) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=36 center=(141.862, 124.724) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=15 center=(242, 151.829) dx=0 dy=30 rot90=0 weight=27
    [move_apply] module_id=46 center=(19.5, 132.377) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=96 center=(101.373, 156) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=20 center=(59.611, 133.698) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=33 center=(180.5, 147.266) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=54 center=(207, 169.5) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=72 center=(45.966, 176.33) dx=0 dy=0 rot90=0 weight=27
    [move_apply] module_id=63 center=(238.5, 199.329) dx=-7 dy=30 rot90=0 weight=27
